City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Zhigansk,RU,2022-08-25 00:15:26,66.7697,123.3711,48.97,63,15,8.95,few clouds
231,Port Moresby,PG,2022-08-25 00:18:24,-9.4431,147.1797,81.82,78,40,4.61,scattered clouds
232,Brae,GB,2022-08-25 00:18:24,60.3964,-1.353,55.29,85,93,8.84,overcast clouds
233,Airai,TL,2022-08-25 00:15:35,-8.9266,125.4092,63.05,67,93,5.55,overcast clouds
234,Makat,KZ,2022-08-25 00:18:25,47.6469,53.3463,73.69,39,0,8.57,clear sky
235,Halifax,CA,2022-08-25 00:16:04,44.6453,-63.5724,69.69,97,84,5.99,broken clouds
236,Cordoba,AR,2022-08-25 00:18:26,-31.4135,-64.1811,71.76,56,0,6.91,clear sky
237,Soroti,UG,2022-08-25 00:18:26,1.7146,33.6111,63.63,95,89,3.67,light rain
238,Kaitangata,NZ,2022-08-25 00:15:22,-46.2817,169.8464,49.19,62,100,1.88,overcast clouds
239,Jieshi,CN,2022-08-25 00:18:27,22.8134,115.8257,81.81,80,15,14.97,few clouds
240,Alice Springs,AU,2022-08-25 00:16:12,-23.7,133.8833,51.35,40,0,10.36,clear sky
241,Sur,OM,2022-08-25 00:18:28,22.5667,59.5289,85.95,61,100,7.43,overcast clouds
242,Mezen,RU,2022-08-25 00:18:29,65.8522,44.24,50.07,72,94,2.42,overcast clouds
243,Inhambane,MZ,2022-08-25 00:18:29,-23.865,35.3833,65.34,86,0,5.06,clear sky
244,Campo Bom,BR,2022-08-25 00:18:30,-29.6789,-51.0533,69.26,77,7,2.59,clear sky
245,Yecla,ES,2022-08-25 00:18:30,38.6137,-1.1147,71.37,79,24,2.73,few clouds
246,Port Hardy,CA,2022-08-25 00:15:34,50.6996,-127.4199,62.78,82,20,8.05,fog
247,Sambava,MG,2022-08-25 00:11:28,-14.2667,50.1667,66.0,86,55,11.79,light rain
248,Chumikan,RU,2022-08-25 00:18:31,54.7183,135.315,59.25,64,24,8.48,few clouds
249,Shelburne,CA,2022-08-25 00:18:32,44.0787,-80.2041,70.59,89,32,5.3,scattered clouds
250,Jiuquan,CN,2022-08-25 00:18:32,39.7432,98.5174,67.64,54,69,3.67,broken clouds
251,Key West,US,2022-08-25 00:15:18,24.5557,-81.7826,89.6,71,0,4.61,clear sky
252,Yar-Sale,RU,2022-08-25 00:18:33,66.8333,70.8333,51.66,72,59,20.94,broken clouds
253,Bara,NG,2022-08-25 00:18:34,10.3744,10.7288,72.55,88,100,3.76,overcast clouds
254,Lorengau,PG,2022-08-25 00:11:36,-2.0226,147.2712,83.98,64,6,6.4,clear sky
255,Tiznit,MA,2022-08-25 00:18:34,29.5833,-9.5,76.6,48,69,1.25,broken clouds
256,Wajima,JP,2022-08-25 00:15:31,37.4,136.9,74.08,88,75,3.44,light intensity shower rain
257,Mahebourg,MU,2022-08-25 00:10:28,-20.4081,57.7,68.25,66,81,14.41,light rain
